"Ancestral Tattoo of Bloodlines","血脉先祖文身"
"Honoured Tattoo of the Barbarian","野蛮人荣誉文身"
"Honoured Tattoo of the Berserker","狂战士荣誉文身"
"Honoured Tattoo of the Dove","灵鸽荣誉文身"
"Honoured Tattoo of the Flock","群鸟荣誉文身"
"Honoured Tattoo of the Flood","洪水荣誉文身"
"Honoured Tattoo of the Hatungo","哈通戈荣誉文身"
"Honoured Tattoo of the Hunter","猎人荣誉文身"
"Honoured Tattoo of the Makanga","马坎加荣誉文身"
"Honoured Tattoo of the Mountain","山岳荣誉文身"
"Honoured Tattoo of the Oak","橡木荣誉文身"
"Honoured Tattoo of the Pa","帕荣誉文身"
"Honoured Tattoo of the Pillager","掠夺者荣誉文身"
"Honoured Tattoo of the Sky","天空荣誉文身"
"Honoured Tattoo of the Storm","风暴荣誉文身"
"Honoured Tattoo of the Tuatara","楔齿蜥荣誉文身"
"Honoured Tattoo of the Turtle","海龟荣誉文身"
"Honoured Tattoo of the Warlord","军阀荣誉文身"
"Honoured Tattoo of the Wise","智者荣誉文身"
"Journey Tattoo of the Body","身躯的旅途文身"
"Journey Tattoo of the Mind","意志的旅途文身"
"Journey Tattoo of the Soul","灵魂的旅途文身"
"Loyalty Tattoo of Ahuana","阿呼阿纳的忠诚文身"
"Loyalty Tattoo of Akoya","阿阔亚的忠诚文身"
"Loyalty Tattoo of Ikiaho","伊基亚霍的忠诚文身"
"Loyalty Tattoo of Kahuturoa","卡胡图罗阿的忠诚文身"
"Loyalty Tattoo of Kaom","冈姆的忠诚文身"
"Loyalty Tattoo of Kiloava","基洛阿瓦的忠诚文身"
"Loyalty Tattoo of Maata","玛塔的忠诚文身"
"Loyalty Tattoo of Rakiata","拉其塔的忠诚文身"
"Loyalty Tattoo of Tawhanuku","塔瓦努库的忠诚文身"
"Loyalty Tattoo of Utula","乌图拉的忠诚文身"
"Tattoo of the Arohongui Makanga","亚欧红古马坎加的文身"
"Tattoo of the Arohongui Moonwarden","亚欧红古月之守卫的文身"
"Tattoo of the Arohongui Scout","亚欧红古斥候的文身"
"Tattoo of the Arohongui Shaman","亚欧红古萨满的文身"
"Tattoo of the Arohongui Warmonger","亚欧红古好战者的文身"
"Tattoo of the Arohongui Warrior","亚欧红古战士的文身"
"Tattoo of the Hinekora Deathwarden","辛格拉死亡守卫的文身"
"Tattoo of the Hinekora Makanga","辛格拉马坎加的文身"
"Tattoo of the Hinekora Shaman","辛格拉萨满的文身"
"Tattoo of the Hinekora Storyteller","辛格拉说书人的文身"
"Tattoo of the Hinekora Warmonger","辛格拉好战者的文身"
