"You can inflict +1 Hallowing Flame on Enemies","你可以对敌人额外施加 1 层圣化之焰"
"25% of Damage taken Recouped as Life, Mana and Energy Shield","受到伤害的 25% 回收为生命、魔力和能量护盾"
"Non-Damaging Elemental Ailments you inflict spread to nearby enemies within 2 metres","你施加的非伤害型元素异常状态会扩散至 2 米内的周围敌人"
"10% of Damage from Hits is taken from your nearest Totem's Life before you","击中伤害的 10% 优先由你最近的图腾生命承受"
"Nearby Enemies take 8% increased Elemental Damage","周围敌人受到的元素伤害提高 8%"
"Nearby Enemies have -8% to Cold Resistance","周围敌人的冰霜抗性 -8%"
"Nearby Enemies have -8% to Chaos Resistance","周围敌人的混沌抗性 -8%"
"Exposure you inflict applies an extra -15% to the affected Resistance","你施加的曝露使受影响的抗性额外 -15%"
"Enemies Taunted by you take 8% increased Damage","被你嘲讽的敌人受到的伤害提高 8%"
"Gain Adrenaline for 10 seconds when you reach Low Life","生命值降至低血时，获得肾上腺素 10 秒"
"If Amethyst Flask Charges are consumed, 23% of Physical Damage as Extra Chaos Damage","若消耗紫晶药剂充能，获得等同于物理伤害 23% 的额外混沌伤害"
"When you kill a Poisoned Enemy, Enemies within 1.5 metres are Poisoned","你击败中毒敌人时，使其 1.5 米内的敌人中毒"
"Flasks gain a Charge every 3 seconds","药剂每 3 秒获得 1 次充能"
"Projectiles have 30% chance to Return to you","投射物有 30% 的几率返回你"
"Gain 1 Gale Force when you use a Skill\n5% increased Effect of Tailwind on you per Gale Force","你使用技能时获得 1 层飓风之力\n每层飓风之力使你身上的提速尾流效果提高 5%"
"+1 to maximum number of Summoned Mirage Archers","召唤的幻影弓手数量上限 +1"
