"+100 to maximum Energy Shield","最大能量护盾 +100"
"120% increased Energy Shield","能量护盾提高 120%"
"+48% to Fire Resistance","火焰抗性 +48%"
"+48% to Cold Resistance","冰霜抗性 +48%"
"+55 to Intelligence","智慧 +55"
"+180 to maximum Energy Shield","最大能量护盾 +180"
"150% increased Energy Shield","能量护盾提高 150%"
"10% increased maximum Energy Shield","能量护盾上限提高 10%"
"+48% to Lightning Resistance","闪电抗性 +48%"
"+40% to Chaos Resistance","混沌抗性 +40%"
"6% increased Attributes","属性提高 6%"
"+85 to maximum Energy Shield","最大能量护盾 +85"
"110% increased Energy Shield","能量护盾提高 110%"
"14% increased Cast Speed","施法速度提高 14%"
"+90 to maximum Energy Shield","最大能量护盾 +90"
"30% increased Movement Speed","移动速度提高 30%"
"+55 to all Attributes","全属性 +55"
"+75 to maximum Energy Shield","最大能量护盾 +75"
"20% increased maximum Energy Shield","能量护盾上限提高 20%"
"+20% to all Elemental Resistances","所有元素抗性 +20%"
"+25% to Global Critical Strike Multiplier","全局暴击伤害加成 +25%"
"+70 to maximum Energy Shield","最大能量护盾 +70"
"20% increased Energy Shield","能量护盾提高 20%"
"+45 to Strength","力量 +45"
"100% increased Spell Damage","法术伤害提高 100%"
"+1 to Level of all Spell Skill Gems","所有法术技能宝石等级 +1"
"+1 to Level of all Cold Spell Skill Gems","所有冰霜法术技能宝石等级 +1"
"20% increased Cast Speed","施法速度提高 20%"
"+35% to Global Critical Strike Multiplier","全局暴击伤害加成 +35%"
"+120 to maximum Energy Shield","最大能量护盾 +120"
"20% increased Spell Damage","法术伤害提高 20%"
