"60% of Elemental Damage from your Hits cannot be Reflected","你击中造成的元素伤害有 60% 无法被反射"
"(Only one Hit every 0.5 seconds can cause you to gain Rage)","（每 0.5 秒只有一次击中能使你获得怒火）"
"(Armour, Evasion Rating and Energy Shield are the standard Defences)","（护甲、闪避值和能量护盾属于标准防御属性）"
"(Crushed lowers Physical Damage Reduction by 15% for 4 seconds)","（碾压使物理伤害减免降低 15%，持续 4 秒）"
"(Each Exposure applies -10% to the matching Resistance)","（每种曝露使对应的抗性 -10%）"
"Link Skills Link to 1 additional random target","连接技能连接 1 个额外的随机目标"
"(Close Range is up to 2 metres)","（近程为 2 米以内）"
"(Bleeding deals Physical Damage over time, based on the base Physical Damage of the Skill. Damage is 200% higher while moving)","（流血根据技能的基础物理伤害造成持续物理伤害，移动时伤害提高 200%）"
"20% chance on Hit to remove all Impales from Enemy\nImpales removed this way multiply their Reflected Damage for this Hit by the number of Hits they have left","击中时有 20% 的几率移除敌人身上的所有穿刺\n以此方式移除的穿刺，其本次击中的反射伤害乘以剩余生效次数"
"(Uncapped Resistance is the value Resistance would have if ignoring Maximum Resistance)","（未封顶抗性是忽略抗性上限时的抗性数值）"
"Totems Taunt Enemies around them for 1 second when Summoned","图腾被召唤时嘲讽周围敌人 1 秒"
"(Armour is treated as this percentage of its actual value, only for calculating damage mitigation)","（仅在计算伤害减免时，护甲按其实际数值的该百分比计算）"
"(By default you gain 1 Valour on Melee Kill, or on Melee Hit against Rare or Unique enemies, no more than once every 0.5 seconds, up to a maximum of 50)","（默认情况下，近战击败敌人或近战击中稀有、传奇敌人时获得 1 点胆魄，每 0.5 秒最多获得一次，最多 50 点）"
"2% chance to Defend with 150% of Armour per 5% missing Energy Shield","每损失 5% 能量护盾，有 2% 的几率以 150% 的护甲值进行防御"
"Recover 5% of Energy Shield over 1 second when you take Physical Damage from an Enemy Hit","受到敌人击中的物理伤害时，在 1 秒内恢复 5% 能量护盾"
"Increases and Reductions to Armour also apply to Energy\nShield Recharge Rate at 20% of their value","护甲的增幅与减益有 20% 同样作用于\n能量护盾充能速度"
"100% increased Armour and Energy Shield from Equipped Body Armour if Equipped Helmet,\nGloves and Boots all have Armour and Energy Shield","若装备的头盔、手套和鞋子都具有护甲与能量护盾，\n则装备胸甲提供的护甲和能量护盾提高 100%"
"60% of Physical Damage from your Hits cannot be Reflected","你击中造成的物理伤害有 60% 无法被反射"
"(Maximum Chance to Block Attack Damage cannot be raised above 90%)","（攻击伤害格挡几率上限无法提高到 90% 以上）"
"(Maximum Chance to Block Spell Damage cannot be raised above 90%)","（法术伤害格挡几率上限无法提高到 90% 以上）"
"50% of Damage from your Hits cannot be Reflected","你击中造成的伤害有 50% 无法被反射"
"(Fortifying grants an amount of Fortification based on the Damage of the Hit)","（护体根据击中伤害获得一定数量的护体层数）"
"Non-Vaal Strike Skills target 1 additional nearby Enemy","非瓦尔打击技能额外以 1 个周围敌人为目标"
"3% chance to deal Triple Damage","有 3% 的几率造成三倍伤害"
"40% increased Damage with Hits against Rare and Unique Enemies","对稀有和传奇敌人的击中伤害提高 40%"
"30% increased Armour and Evasion Rating if your Main Hand Weapon\nhas a Red and Green Socket","若主手武器有红色和绿色插槽，\n则护甲与闪避值提高 30%"
"15% more Stun Duration with Two Handed Weapons","双手武器造成的晕眩持续时间总增 15%"
"Attacks with Two Handed Weapons deal 60% increased Damage with Hits and Ailments","双手武器攻击造成的击中和异常状态伤害提高 60%"
"10% reduced Attack Speed","攻击速度降低 10%"
"Ruthless Hits Intimidate Enemies for 4 seconds","无情击中威吓敌人 4 秒"
"(Arcane Might causes Increases and Reductions to Spell Damage to also apply to Attack Damage at that percentage of their value)","（奥术之力使法术伤害的增幅与减益也按其数值作用于攻击伤害）"
"(Base Maximum Effect of Shock is 50% increased Damage taken)","（感电的基础效果上限为受到的伤害提高 50%）"
"(Overcapped Resistance is the amount by whch Uncapped Resistance is higher than Maximum Resistance)","（溢出抗性是未封顶抗性高于抗性上限的部分）"
"The first 6 Mana Burn applied to you have no effect","对你施加的前 6 层魔力燃烧不产生效果"
"30% increased Evasion Rating while you have an active Tincture","激活酊剂效果时闪避值提高 30%"
"1% increased Flask Charges gained per Mana Burn on you","你身上每层魔力燃烧使获得的药剂充能提高 1%"
"Flasks adjacent to applied Tincture have 10% increased Effect when\nused if you've Hit an enemy with a Weapon Recently","若近期用武器击中过敌人，与生效酊剂邻接的药水使用时\n效果提高 10%"
"Tinctures deactivate when you have 12 or more Mana Burn","拥有 12 层及以上魔力燃烧时取消酊剂效果"
"(Each Exposure applies -10% to the matching Resistance for 4 seconds)","（每种曝露使对应的抗性 -10%，持续 4 秒）"
"(Onslaught grants 20% increased Attack and Cast Speed)","（猛攻使攻击和施法速度提高 20%）"
